Count,Latitude,Longitude,사업장명,업태구분명
0,37.4787369,126.8881257,마리오아울렛 1관,쇼핑센터
1,37.4787369,126.8881257,마리오아울렛 3관,쇼핑센터
2,37.5224386,126.8916604,영등포유통상가,그 밖의 대규모점포
3,37.487708,126.994284,롯데슈퍼 방배2점,대형마트
4,37.5280802,127.0415695,갤러리아백화점(동관),백화점
5,37.6022258,127.1091554,GS THE FRESH 중랑망우점,그 밖의 대규모점포
6,37.5349132,126.8590608,씨에스유통 (롯데슈퍼화곡2점),그 밖의 대규모점포
7,37.5285614,127.0400548,갤러리아백화점(서관),백화점
8,37.6035622,127.0198289,이마트에브리데이 길음점,복합쇼핑몰
9,37.4894778,127.124298,가든파이브 툴,쇼핑센터
10,37.5252602,127.0508448,GS THE FRESH 청담점,대형마트
11,37.5125207,127.0588194,현대백화점 무역센터점,백화점
12,37.559518,126.9479577,GS THE FRESH 신촌이대역점,그 밖의 대규모점포
13,37.5422389,126.8578399,롯데쇼핑(주)롯데슈퍼화곡점,그 밖의 대규모점포
14,37.5717195,126.8075773,롯데쇼핑(주)롯데슈퍼개화산점,그 밖의 대규모점포
15,37.4787369,126.8881257,현대아울렛,쇼핑센터
16,37.5011761,126.8828394,이랜드리테일 NC구로점,백화점
17,37.6255737,127.0177184,롯데쇼핑(주) 롯데마트 삼양점,복합쇼핑몰
18,37.6378658,127.068707,세이브존,그 밖의 대규모점포
19,37.566527,126.8979269,마포농수산물시장,그 밖의 대규모점포
20,37.4985303,126.8591771,고척아이파크쇼핑센터,쇼핑센터
21,37.660387,127.0719683,상계역전종합상가,쇼핑센터
22,37.5999114,127.0767831,홈플러스(주) 익스프레스 태릉점,그 밖의 대규모점포
23,37.6551438,127.0610785,롯데백화점 노원점,백화점
24,37.5773689,127.0430791,청량리역 한양수자인 그라시엘 판매시설,그 밖의 대규모점포
25,37.5752001,126.9604154,GS THE FRESH 무악현대점,대형마트
26,37.5224833,126.8937056,포레나당산동역세권청년주택 상업시설,그 밖의 대규모점포
27,37.6857879,127.0479503,도봉한신쇼핑상가,복합쇼핑몰
28,37.643546,127.0659188,이천일아울렛 중계점,복합쇼핑몰
