기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20191,11110,종로구,CS300028,화초,1495850124,36765,1314004524,181845600,171773552,214303789,312535940,353255399,262135844,107164302,74681298,0,222767026,361381719,348673696,541222248,21805435,465985416,614351753,4821242,236327182,286985195,225269811,249285099,77648643,29363,7402,4304,3915,5822,8003,7319,4315,3087,0,3710,9067,8928,14178,882,14947,17876,345,10672,9937,6291,4030,1542
20191,11110,종로구,CS100004,양식음식점,21733503173,586239,15141392928,6592110245,2473306312,2783204856,3031794071,3336030303,3517057386,3733577891,2858532354,413929513,123388190,6045931961,3643516680,8433242232,3073494597,8465129069,9530725644,136382198,6196833737,4967963671,3236855795,2407946855,1049872442,410321,175918,68588,76763,82766,88636,93568,97119,78799,6918,7105,198313,111813,210914,51176,244199,295978,6781,212438,144750,90539,62719,22943
20191,11110,종로구,CS100007,치킨전문점,3247811505,111086,2414124197,833687308,387818146,465519610,464660157,517601298,578524986,484159177,349528131,382461305,74554617,182374892,148462018,1133940599,1326018074,1765155389,1134001754,40820693,927312845,698362320,599689873,471883377,161088031,81739,29347,13082,15734,15996,17124,19803,16367,12980,11326,2056,12204,5901,40712,38887,60952,43654,2077,34735,25143,20359,16465,5826
20191,11110,종로구,CS300017,시계및귀금속,1.50562E+11,400097,1.13674E+11,36887508231,23030460391,21480190047,22787460667,23737220352,22638689797,21864090307,15023417924,0,4074265581,47523104816,60994758051,37787372266,182028771,69483673044,66687504758,181127570,13803201987,26143750620,26406134053,44761390011,24875573557,287394,112703,52916,49639,56797,61399,66643,64719,47984,0,20376,102246,160731,112064,4680,155079,220607,5746,110220,93976,66296,59195,40254
20191,11110,종로구,CS200006,일반의원,14993800118,538455,13153901584,1839898534,2847348305,2421456777,2166994374,2739901551,2978200577,1803786576,36111958,0,2910962298,4490413329,4513260135,3047025979,32138377,6420163302,8529048076,69495695,1814359964,3318178411,3170413889,3463830467,3112932953,482996,55459,106878,83023,89547,103533,100015,55432,27,0,129921,156935,169192,82087,320,267337,270382,3352,72058,122236,124040,115864,100169
20191,11110,종로구,CS300018,의약품,33876865110,1253099,27361722154,6515142956,5327028136,5132990767,5326503009,5953833444,5621366798,5112553243,1402589713,0,5185243846,10452361974,11820444996,6262711613,156102681,19095276877,14124071647,31607877,2619886063,5116268743,6269008882,7010312137,12172264831,1061169,191930,223915,194021,205735,221377,216121,152502,39428,0,209509,361545,388778,281042,12225,649561,600431,4939,191069,243611,246369,250351,313652
20191,11110,종로구,CS300019,의료기기,9397765181,99260,7877465392,1520299789,1299088550,1334548034,1829785036,1625797033,1788246739,1264393394,255906395,0,741864353,3571041751,4423847866,656674018,4337193,4920886480,4235842059,129888,119902342,558512984,1596126423,2604257114,4277799787,78384,20876,14614,14695,15584,16690,16801,15396,5480,0,10980,34130,40564,13519,67,54869,42409,6,2444,7529,12205,20169,54927
20191,11110,종로구,CS300022,화장품,23759914570,1136713,17422518723,6337395847,2868239047,3233549627,3485466546,4023830167,3811433336,3705472672,2631923175,5955466,1179738378,4611536901,6173605268,9335306189,2453772368,5382948300,18175881637,320543055,8518462229,5877566741,3850594758,3166463052,1825200101,792907,343806,133077,142708,163183,175467,178472,196360,147446,55,40735,212857,283132,471840,128094,250484,883735,23081,548162,276020,138826,107603,40525
20191,11110,종로구,CS300033,철물점,702090227,16920,598715714,103374513,87234750,66161378,139390854,173399702,132529030,97376367,5998146,0,118591787,254303033,204964813,124196932,33662,252827543,218581119,1314874,33020089,56003009,110672945,144377167,126020576,14237,2683,2332,2131,3958,2816,3000,2279,404,0,3225,4954,5947,2787,7,7459,3628,60,1899,2237,1892,2332,2658
20191,11110,종로구,CS300015,가방,209215848,3734,157450688,51765160,17134977,12214117,36855862,16557654,74688078,33102147,18663013,0,16767296,66493708,80075508,45879336,0,80417739,103130009,465793,9320744,50145600,33003202,36138342,54474068,2758,976,384,424,569,424,957,724,252,0,164,1187,1589,794,0,1780,1608,34,407,768,552,605,1022
