자치구명,대형마트 수,생활 인구,상권 지수,위도,경도,재활용 지수,녹색매장 수
강남구,32,655545.1143,3.46E+12,37.514575,127.0495556,0.37577,10
강동구,14,509888.8374,7.92E+11,37.52736667,127.1258639,0.292218,2
강북구,15,287913.5417,5.06E+11,37.63695556,127.0277194,0.351694,1
강서구,19,526891.403,1.02E+12,37.54815556,126.851675,0.449748,6
관악구,13,450404.012,7.20E+11,37.47538611,126.9538444,0.414783,3
광진구,20,353516.3766,7.23E+11,37.53573889,127.0845333,0.506474,3
구로구,34,378003.2814,8.11E+11,37.49265,126.8895972,0.336267,3
금천구,23,193612.6035,1.30E+12,37.44910833,126.9041972,0.509435,1
노원구,12,495216.3398,7.70E+11,37.65146111,127.0583889,0.348612,2
도봉구,8,274950.644,4.25E+11,37.66583333,127.0495222,0.383771,2
동대문구,16,327699.1761,1.35E+12,37.571625,127.0421417,0.287895,2
동작구,10,358048.7689,1.80E+12,37.50965556,126.941575,0.333477,5
마포구,13,417052.9687,1.13E+12,37.56070556,126.9105306,0.427067,6
서대문구,6,325113.07,5.05E+11,37.57636667,126.9388972,0.383973,3
서초구,8,465975.1827,1.57E+12,37.48078611,127.0348111,0.407148,8
성동구,6,308538.9398,6.38E+11,37.56061111,127.039,0.367063,3
성북구,25,408905.8579,4.96E+11,37.58638333,127.0203333,0.320147,2
송파구,21,736216.4,2.09E+12,37.51175556,127.1079306,0.434152,8
양천구,8,371396.6041,6.06E+11,37.51423056,126.8687083,0.295489,6
영등포구,34,432745.776,1.48E+12,37.52361111,126.8983417,0.448145,8
용산구,9,263872.479,1.39E+12,37.53609444,126.9675222,1.802953,3
은평구,25,441263.6496,5.31E+11,37.59996944,126.9312417,0.261155,4
종로구,15,238205.0353,1.18E+12,37.57037778,126.9816417,0.607052,1
중구,29,193852.3052,1.47E+12,37.56100278,126.9996417,0.668272,3
중랑구,13,358424.7895,5.83E+11,37.60380556,127.0947778,0.607052,1
