기준일ID,시간대구분,자치구코드,시군구명,총생활인구수
20231231,0,11110,종로구,194294.1824
20231231,0,11140,중구,145579.2716
20231231,0,11170,용산구,245449.3087
20231231,0,11200,성동구,303286.6195
20231231,0,11215,광진구,354462.4349
20231231,0,11230,동대문구,327059.4326
20231231,0,11260,중랑구,369023.964
20231231,0,11290,성북구,420005.9408
20231231,0,11305,강북구,296938.701
20231231,0,11320,도봉구,276419.95
20231231,0,11350,노원구,504646.2782
20231231,0,11380,은평구,456273.1263
20231231,0,11410,서대문구,327992.4424
20231231,0,11440,마포구,405164.9746
20231231,0,11470,양천구,377928.2974
20231231,0,11500,강서구,529553.5293
20231231,0,11530,구로구,381256.0232
20231231,0,11545,금천구,193815.1793
20231231,0,11560,영등포구,399792.6995
20231231,0,11590,동작구,371107.4779
20231231,0,11620,관악구,469267.3548
20231231,0,11650,서초구,440318.2949
20231231,0,11680,강남구,630407.3011
20231231,0,11710,송파구,704820.0696
20231231,0,11740,강동구,521573.5569
20231231,1,11110,종로구,192769.6077
20231231,1,11140,중구,144147.9138
20231231,1,11170,용산구,244370.5318
20231231,1,11200,성동구,304161.2084
20231231,1,11215,광진구,355123.8224
20231231,1,11230,동대문구,329544.098
20231231,1,11260,중랑구,371352.9279
20231231,1,11290,성북구,420972.5664
20231231,1,11305,강북구,297547.339
20231231,1,11320,도봉구,278901.414
20231231,1,11350,노원구,506210.2205
20231231,1,11380,은평구,459823.648
20231231,1,11410,서대문구,327605.2227
20231231,1,11440,마포구,403441.4838
20231231,1,11470,양천구,379343.1793
20231231,1,11500,강서구,532109.6934
20231231,1,11530,구로구,381752.4683
20231231,1,11545,금천구,194901.6786
20231231,1,11560,영등포구,399100.3746
20231231,1,11590,동작구,372503.4961
20231231,1,11620,관악구,471867.7485
20231231,1,11650,서초구,437439.6125
20231231,1,11680,강남구,627427.4787
20231231,1,11710,송파구,706719.2233
20231231,1,11740,강동구,523693.0646
20231231,2,11110,종로구,191645.8973
20231231,2,11140,중구,143266.6194
20231231,2,11170,용산구,243809.781
20231231,2,11200,성동구,305349.6154
20231231,2,11215,광진구,356311.9544
20231231,2,11230,동대문구,331174.8701
20231231,2,11260,중랑구,372679.1879
20231231,2,11290,성북구,422918.0987
20231231,2,11305,강북구,298222.9597
20231231,2,11320,도봉구,280758.3241
20231231,2,11350,노원구,508375.0054
20231231,2,11380,은평구,462342.128
20231231,2,11410,서대문구,328649.1514
20231231,2,11440,마포구,402299.7832
20231231,2,11470,양천구,380859.0194
20231231,2,11500,강서구,533760.5266
20231231,2,11530,구로구,382328.8177
20231231,2,11545,금천구,196119.3132
20231231,2,11560,영등포구,399070.3315
20231231,2,11590,동작구,374014.016
20231231,2,11620,관악구,473992.5041
20231231,2,11650,서초구,435258.4245
20231231,2,11680,강남구,623952.9093
20231231,2,11710,송파구,708790.2875
20231231,2,11740,강동구,526204.9441
20231231,3,11110,종로구,191737.8395
20231231,3,11140,중구,142618.4523
20231231,3,11170,용산구,243089.9019
20231231,3,11200,성동구,306699.1104
20231231,3,11215,광진구,358127.0873
20231231,3,11230,동대문구,332635.0536
20231231,3,11260,중랑구,374835.8515
20231231,3,11290,성북구,423931.3855
20231231,3,11305,강북구,299214.9219
20231231,3,11320,도봉구,282447.3642
20231231,3,11350,노원구,510799.1944
20231231,3,11380,은평구,464827.9167
20231231,3,11410,서대문구,329859.5084
20231231,3,11440,마포구,400091.2822
20231231,3,11470,양천구,382338.4387
20231231,3,11500,강서구,534847.1465
20231231,3,11530,구로구,383098.4073
20231231,3,11545,금천구,196684.183
20231231,3,11560,영등포구,399517.9742
20231231,3,11590,동작구,375109.6306
20231231,3,11620,관악구,475742.9678
20231231,3,11650,서초구,433921.1785
20231231,3,11680,강남구,619715.5253
20231231,3,11710,송파구,711278.1575
20231231,3,11740,강동구,528847.576
20231231,4,11110,종로구,191557.8232
20231231,4,11140,중구,143049.0827
20231231,4,11170,용산구,242799.6934
20231231,4,11200,성동구,307829.9516
20231231,4,11215,광진구,358555.7777
20231231,4,11230,동대문구,335061.8607
20231231,4,11260,중랑구,375892.0171
20231231,4,11290,성북구,425186.7761
20231231,4,11305,강북구,299932.0954
20231231,4,11320,도봉구,283494.8659
20231231,4,11350,노원구,512746.5342
20231231,4,11380,은평구,466138.8363
20231231,4,11410,서대문구,331329.1033
20231231,4,11440,마포구,399135.5205
20231231,4,11470,양천구,382980.3225
20231231,4,11500,강서구,537931.1702
20231231,4,11530,구로구,383297.3834
20231231,4,11545,금천구,197830.3083
20231231,4,11560,영등포구,400472.292
20231231,4,11590,동작구,374504.8413
20231231,4,11620,관악구,477694.2763
20231231,4,11650,서초구,433588.6361
20231231,4,11680,강남구,618908.448
20231231,4,11710,송파구,712781.9703
20231231,4,11740,강동구,529986.2988
20231231,5,11110,종로구,192896.5528
20231231,5,11140,중구,144850.627
20231231,5,11170,용산구,242809.4456
20231231,5,11200,성동구,309397.081
20231231,5,11215,광진구,359319.7057
20231231,5,11230,동대문구,336172.2367
20231231,5,11260,중랑구,375741.1284
20231231,5,11290,성북구,425708.9918
20231231,5,11305,강북구,299800.4615
20231231,5,11320,도봉구,284617.3993
20231231,5,11350,노원구,512806.9928
20231231,5,11380,은평구,466844.2558
20231231,5,11410,서대문구,331491.7394
20231231,5,11440,마포구,396304.0469
20231231,5,11470,양천구,383003.198
20231231,5,11500,강서구,541192.5103
20231231,5,11530,구로구,383963.0561
20231231,5,11545,금천구,198035.5228
20231231,5,11560,영등포구,402696.6965
20231231,5,11590,동작구,376339.7222
20231231,5,11620,관악구,477086.4458
20231231,5,11650,서초구,435429.6191
20231231,5,11680,강남구,617038.307
20231231,5,11710,송파구,715302.8215
20231231,5,11740,강동구,531200.14
20231231,6,11110,종로구,194056.458
20231231,6,11140,중구,149056.9396
20231231,6,11170,용산구,243685.8005
20231231,6,11200,성동구,310125.3715
20231231,6,11215,광진구,359012.3466
20231231,6,11230,동대문구,337246.3873
20231231,6,11260,중랑구,374677.1004
20231231,6,11290,성북구,424912.4444
20231231,6,11305,강북구,298268.5116
20231231,6,11320,도봉구,284188.8097
20231231,6,11350,노원구,510761.4777
20231231,6,11380,은평구,465354.4373
20231231,6,11410,서대문구,331842.7995
20231231,6,11440,마포구,392799.0772
20231231,6,11470,양천구,382323.2955
20231231,6,11500,강서구,542760.6741
20231231,6,11530,구로구,382541.0883
20231231,6,11545,금천구,198420.5204
20231231,6,11560,영등포구,405930.8564
20231231,6,11590,동작구,375323.8399
20231231,6,11620,관악구,475531.2
20231231,6,11650,서초구,439001.7248
20231231,6,11680,강남구,618791.5603
20231231,6,11710,송파구,715842.955
20231231,6,11740,강동구,531021.3377
20231231,7,11110,종로구,196954.4666
20231231,7,11140,중구,152317.3533
20231231,7,11170,용산구,246862.3448
20231231,7,11200,성동구,310169.7243
20231231,7,11215,광진구,356829.6532
20231231,7,11230,동대문구,336600.2455
20231231,7,11260,중랑구,372368.3955
20231231,7,11290,성북구,423853.843
20231231,7,11305,강북구,296291.9621
20231231,7,11320,도봉구,283566.1902
20231231,7,11350,노원구,508240.9575
20231231,7,11380,은평구,460674.1353
20231231,7,11410,서대문구,331155.7435
20231231,7,11440,마포구,391752.4497
20231231,7,11470,양천구,380311.8009
20231231,7,11500,강서구,539577.1022
20231231,7,11530,구로구,381604.5857
20231231,7,11545,금천구,198103.1262
20231231,7,11560,영등포구,411696.1887
20231231,7,11590,동작구,372917.4047
20231231,7,11620,관악구,472280.9624
20231231,7,11650,서초구,443852.673
20231231,7,11680,강남구,621759.2719
20231231,7,11710,송파구,715365.1455
20231231,7,11740,강동구,529111.2682
20231231,8,11110,종로구,203034.0632
20231231,8,11140,중구,161551.429
20231231,8,11170,용산구,252312.1217
20231231,8,11200,성동구,309687.7598
20231231,8,11215,광진구,354284.7019
20231231,8,11230,동대문구,335681.3277
20231231,8,11260,중랑구,368479.4798
20231231,8,11290,성북구,421401.1364
20231231,8,11305,강북구,292460.9459
20231231,8,11320,도봉구,282640.4854
20231231,8,11350,노원구,504010.742
20231231,8,11380,은평구,454293.0334
20231231,8,11410,서대문구,330022.1779
20231231,8,11440,마포구,393799.962
20231231,8,11470,양천구,378110.9087
20231231,8,11500,강서구,536868.037
20231231,8,11530,구로구,381098.9622
20231231,8,11545,금천구,196955.9174
20231231,8,11560,영등포구,419357.7012
20231231,8,11590,동작구,369632.0606
20231231,8,11620,관악구,466353.4577
20231231,8,11650,서초구,454499.5757
20231231,8,11680,강남구,641565.6848
20231231,8,11710,송파구,714663.9978
20231231,8,11740,강동구,524974.3434
20231231,9,11110,종로구,212913.0007
20231231,9,11140,중구,177401.4382
20231231,9,11170,용산구,261080.73
20231231,9,11200,성동구,309072.8744
20231231,9,11215,광진구,349926.0342
20231231,9,11230,동대문구,334127.8678
20231231,9,11260,중랑구,362869.9024
20231231,9,11290,성북구,416932.5099
20231231,9,11305,강북구,287640.51
20231231,9,11320,도봉구,279486.5823
20231231,9,11350,노원구,498504.6329
20231231,9,11380,은평구,445367.356
20231231,9,11410,서대문구,327522.1936
20231231,9,11440,마포구,396901.5104
20231231,9,11470,양천구,376886.173
20231231,9,11500,강서구,532987.3023
20231231,9,11530,구로구,379537.8504
20231231,9,11545,금천구,195260.6294
20231231,9,11560,영등포구,430948.1859
20231231,9,11590,동작구,363942.0458
20231231,9,11620,관악구,457263.7104
20231231,9,11650,서초구,474630.2726
20231231,9,11680,강남구,663823.4426
20231231,9,11710,송파구,717728.6326
20231231,9,11740,강동구,518981.2181
20231231,10,11110,종로구,226341.0739
20231231,10,11140,중구,193947.5018
20231231,10,11170,용산구,267599.4999
20231231,10,11200,성동구,310614.1988
20231231,10,11215,광진구,347703.2141
20231231,10,11230,동대문구,333783.1031
20231231,10,11260,중랑구,356856.5195
20231231,10,11290,성북구,413591.8306
20231231,10,11305,강북구,282342.5351
20231231,10,11320,도봉구,277683.6446
20231231,10,11350,노원구,490671.3513
20231231,10,11380,은평구,435551.841
20231231,10,11410,서대문구,325820.0506
20231231,10,11440,마포구,401970.5755
20231231,10,11470,양천구,371977.402
20231231,10,11500,강서구,527324.2363
20231231,10,11530,구로구,379284.9001
20231231,10,11545,금천구,195538.6416
20231231,10,11560,영등포구,446674.0594
20231231,10,11590,동작구,359163.4555
20231231,10,11620,관악구,449032.5997
20231231,10,11650,서초구,488100.7778
20231231,10,11680,강남구,679870.8585
20231231,10,11710,송파구,723773.7057
20231231,10,11740,강동구,511425.3088
20231231,11,11110,종로구,242796.6635
20231231,11,11140,중구,210024.6153
20231231,11,11170,용산구,275867.4194
20231231,11,11200,성동구,308832.8929
20231231,11,11215,광진구,344583.875
20231231,11,11230,동대문구,332916.9607
20231231,11,11260,중랑구,352231.8965
20231231,11,11290,성북구,406242.8895
20231231,11,11305,강북구,279246.0082
20231231,11,11320,도봉구,275493.0852
20231231,11,11350,노원구,486036.6172
20231231,11,11380,은평구,427148.4072
20231231,11,11410,서대문구,322651.0531
20231231,11,11440,마포구,408941.9649
20231231,11,11470,양천구,365960.6525
20231231,11,11500,강서구,524918.1302
20231231,11,11530,구로구,376278.3281
20231231,11,11545,금천구,192711.6993
20231231,11,11560,영등포구,457727.4394
20231231,11,11590,동작구,351128.8799
20231231,11,11620,관악구,440190.1004
20231231,11,11650,서초구,496182.4122
20231231,11,11680,강남구,690784.027
20231231,11,11710,송파구,726593.708
20231231,11,11740,강동구,502976.089
20231231,12,11110,종로구,260002.6708
20231231,12,11140,중구,226693.4611
20231231,12,11170,용산구,280774.3113
20231231,12,11200,성동구,308634.5084
20231231,12,11215,광진구,345267.8635
20231231,12,11230,동대문구,331159.8686
20231231,12,11260,중랑구,344985.7112
20231231,12,11290,성북구,400019.7648
20231231,12,11305,강북구,278041.2646
20231231,12,11320,도봉구,271505.7006
20231231,12,11350,노원구,480820.2882
20231231,12,11380,은평구,420349.3362
